LARGE NUMBERS				
In English, one way to write out the four-digit number 1000 is "1 thousand." A way to write 1500 is "1.5 thousand". Please provide translations of the following six abbreviations.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	
1000	1 thousand	1 arivo		
2000	2 thousand	2 arivo		
1500	1.5 thousand	1,5 arivo		
2300	2.3 thousand	2,3 arivo		
10000	10 thousand	1 alina		
43000	43 thousand	4,3 alina		
10500	10.5 thousand	1,05 alina		
437000	43.7 thousand	4,37 hetsy		
134000	134 thousand	1,34 hetsy		
278000	278 thousand	2,78 hetsy		
134700	134.7 thousand	1,347 hetsy		
278100	278.1 thousand	2,781 hetsy		
1000000	1 million	1 tapitrisa		
5000000	5 million	5 tapitrisa		
1100000	1.1 million	1,1 tapitrisa		
5700000	5.7 million	5,7 tapitrisa		
11000000	11 million	11 tapitrisa		
57000000	57 million	57 tapitrisa		
11500000	11.5 million	11,5 tapitrisa		
57700000	57.7 million	57,7 tapitrisa		
134000000	134 million	134 tapitrisa		
317000000	317 million	317 tapitrisa		
134700000	134.7 million	134,7 tapitrisa		
317900000	317.9 million	317,9 tapitrisa		
1000000000	1 billion	1 lavitrisa		
4000000000	4 billion	4 lavitrisa		
1200000000	1.2 billion	1,2 lavitrisa		
4700000000	4.7 billion	4,7 lavitrisa		
11000000000	11 billion	11 lavitrisa		
39000000000	39 billion	39 lavitrisa		
11200000000	11.2 billion	11,2 lavitrisa		
39900000000	39.9 billion	39,9 lavitrisa		
134000000000	134 billion	134 lavitrisa		
623000000000	623 billion	623 lavitrisa		
134700000000	134.7 billion	134,7 lavitrisa		
623500000000	623.5 billion	623,5 lavitrisa		
1000000000000	1 trillion	1 tsitokotsiforohana		
4000000000000	4 trillion	4 tsitokotsiforohana		
1700000000000	1.7 trillion	1,7 tsitokotsiforohana		
4200000000000	4.2 trillion	4,2 tsitokotsiforohana		
17000000000000	17 trillion	17 tsitokotsiforohana		
42000000000000	42 trillion	42 tsitokotsiforohana		
17800000000000	17.8 trillion	17,8 tsitokotsiforohana		
42300000000000	42.3 trillion	42,3 tsitokotsiforohana		
178000000000000	178 trillion	178 tsitokotsiforohana		
423000000000000	423 trillion	423 tsitokotsiforohana		
178100000000000	178.1 trillion	178,1 tsitokotsiforohana		
423900000000000	423.9 trillion	423,9 tsitokotsiforohana		
In English, one way to write out the four-digit amount $1,000 is "$1K." A way to write $1,500 is "$1.5K". Please provide translations of the following abbreviations, making sure also to use the correct currency symbol in your language. If your currency symbol comes before the number, place it before the number. If your currency symbol normally comes after the number, place it after the number. 				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	
$1,000	$1K	1K Ar		
$7,000	$7K	7K Ar		
$1,500	$1.5K	1,5K Ar		
$7,200	$7.2K	7,2K Ar		
$10,000	$10K	10K Ar		
$99,000	$99K	99K Ar		
$10,500	$10.5K	10,5K Ar		
$99,100	$99.1K	99,1K Ar		
$134,000	$134K	134K Ar		
$274,000	$274K	274K Ar		
$134,700	$134.7K	134,7K Ar		
$274,900	$274.9K	274,9K Ar		
$1,000,000	$1M	1T Ar		
$7,000,000	$7M	7T Ar		
$1,100,000	$1.1M	1,1T Ar		
$8,700,000	$8.7M	8,7T Ar		
$11,000,000	$11M	11T Ar		
$85,000,000	$85M	85T Ar		
$11,500,000	$11.5M	11,5T Ar		
$85,400,000	$85.4M	85,4T Ar		
$134,000,000	$134M	134T Ar		
$867,000,000	$867M	867T Ar		
$134,700,000	$134.7M	134,7T Ar		
$867,200,000	$867.2M	867,2T Ar		
